hvrecid,permitno,nocatch,nohrvrpt,harvdate,location,pots,soaktime,shrimp,keyid,keydate,year,comments,mailing,stat_area,,
ec25eb8e-c605-46fa-a435-c35cf8e51453,174062,0,0,5/20/2023,Bettles Bay,2,6,1,ADFG WEB,11/9/2023,2023,NULL,2,NULL,,
ab7cab10-1e40-4cfa-bf36-a6914eea892f,35126,0,0,7/15/2023,Prince William Sound Blackstone Bay,2,20,1,ADFG WEB,9/18/2023,2023,NULL,0,NULL,,
de90c51d-b5f9-4f63-9ffb-e33a367d73d4,259307,0,0,7/5/2023,Passage canal,2,12,3,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
496680b5-e907-4d8b-924b-6cc483c965b8,83988,0,0,4/21/2023,Pigot point,2,4,1.5,ADFG WEB,4/21/2023,2023,NULL,0,NULL,,
93d2886f-e908-4e75-995c-22051bdff2e7,361744,0,0,7/7/2023,Black Stone Bay,3,16,3,ADFG WEB,9/8/2023,2023,NULL,0,NULL,,
640d6289-a32c-457c-b9a7-d52dddf8cf59,116225,0,0,5/2/2023,Passage canal,2,24,0.5,ADFG WEB,10/14/2023,2023,NULL,0,NULL,,
3f50258a-c4f5-42c3-b07e-88de07148307,3717,0,0,8/12/2023,Colorose passage,2,24,0.25,ADFG WEB,8/15/2023,2023,NULL,0,NULL,,
3c34da0f-f0d6-4f1e-bfa1-55b77ce1cf97,25008,0,0,4/29/2023,Gold Creek Valdez Arm,2,72,3,ADFG WEB,10/6/2023,2023,NULL,0,NULL,,
1cc63eed-7af1-489c-9bef-60172a5ebf43,38625,0,0,7/23/2023,Unakwik Inlet,3,4,1.5,ADFG WEB,9/6/2023,2023,NULL,0,NULL,,
893c885a-19f4-470c-8422-2f87bfd6cf2b,54107,0,0,8/17/2023,Valdez Bay,2,48,2,ADFG WEB,8/24/2023,2023,NULL,0,NULL,,
f0f37008-4498-48b1-a596-187822150a0f,10971,0,0,8/20/2023,Nelly Juan,2,12,1,ADFG WEB,9/17/2023,2023,NULL,0,NULL,,
2ed40e63-abb5-47a8-8bb1-9e6de9e29258,167816,0,0,8/18/2023,PWS,2,12,2,ADFG WEB,9/17/2023,2023,NULL,0,NULL,,
b558eb22-babc-4241-b73c-8e93ee4ba560,126589,0,0,8/20/2023,"Coghill, PWS",3,8,2,ADFG WEB,9/27/2023,2023,NULL,0,NULL,,
29a47492-d411-4f84-b364-877f91c36c8e,132053,0,0,5/15/2023,blue fjord,3,10,2,ADFG WEB,9/29/2023,2023,NULL,0,NULL,,
6252e3c4-6dd3-4448-abe9-434f9c214297,406580,0,0,8/15/2023,Valdez Bay,2,24,0.1,ADFG WEB,9/14/2023,2023,NULL,0,NULL,,
31a8c63a-2748-45cc-a0d6-3c908fd86d37,52616,0,0,5/12/2023,East of Valdez container dock,2,24,1.5,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
bee00813-b75f-4664-a93c-21814c7ca49f,152008,0,0,6/4/2023,Cochrane Bay,2,12,1.5,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
61e1ba59-c6a9-43f3-8fa4-95e44a35daa0,103908,0,0,5/17/2023,Kockrine Bay(Back of Bay),2,144,3,ADFG WEB,9/18/2023,2023,NULL,0,NULL,,
de570b6b-53a8-4e7e-ac0c-d4491f911b0c,385470,1,0,8/18/2023,Passage Canal,2,168,0,ADFG WEB,9/20/2023,2023,NULL,0,NULL,,
5df5f12b-73ae-4fec-8e4d-49f0aa0ca38c,48852,0,0,4/23/2023,Pigot Bay,2,14,0.7,ADFG WEB,10/2/2023,2023,NULL,0,NULL,,
df4b47a8-1674-4b43-a951-170cac903dd0,20980,0,0,10/1/2023,Cochrane Bay,2,4,1,ADFG WEB,10/1/2023,2023,NULL,0,NULL,,
03a0fe8f-b5e2-40e1-bbba-505a465b1bb2,69362,0,0,5/23/2023,Golden,2,14,0.5,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
491942d8-5dde-4532-b240-172d0260ef31,55798,1,0,5/6/2023,Port Valdez,2,144,0,ADFG WEB,10/8/2023,2023,NULL,0,NULL,,
01c65bcb-84b1-4128-a560-6c82fd02e901,27589,0,0,6/9/2023,passage canal,2,48,2,ADFG WEB,9/23/2023,2023,NULL,0,NULL,,
560b2c34-e195-4ca8-a60c-d15ed3566a71,278470,0,0,6/17/2023,Wells bay,3,6.5,1,ADFG WEB,6/17/2023,2023,NULL,0,NULL,,
271ca945-3a83-416c-b520-0c232a431f2f,163553,0,0,8/23/2023,Blackstone bay,2,5,0.3,ADFG WEB,10/9/2023,2023,NULL,0,NULL,,
bd6a80ec-df57-4e01-946c-7aeb13d6095a,54652,0,0,5/31/2023,Gold Creek,2,48,2.5,ADFG WEB,10/3/2023,2023,NULL,0,NULL,,
dd8ee6a7-4a53-4461-bf39-e21802071fa0,4335,1,0,9/11/2023,Cocurane Bay,2,3,0,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
8a76cec2-829d-490b-a588-ecc232eb5ce4,406580,0,0,8/20/2023,Valdez Bay,2,24,2.6,ADFG WEB,9/14/2023,2023,NULL,0,NULL,,
b51b6230-0121-4a2b-8114-1e6506bb134a,121926,0,0,5/20/2023,Bettles Bay,1,12,1,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
a9f1a0e6-fd12-43d8-afcf-92b59e7ae8ca,93452,0,0,5/6/2023,Passage Canal,2,10,1.5,ADFG WEB,6/8/2023,2023,NULL,0,NULL,,
7a4a68cc-0361-40c1-a9a9-a9d746bc4f14,243261,0,0,8/17/2023,Cochran bay,2,48,4,ADFG WEB,8/23/2023,2023,NULL,0,NULL,,
32b34f32-4a7e-4b4d-a9e3-31d42b16eaba,374116,0,0,7/18/2023,"Derickson Bay, Port Nellie Juan",2,8,4,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
989e94c1-0e19-4dda-85c6-de6e5699c1df,130689,0,0,8/25/2023,Siwash Bay,3,24,3,ADFG WEB,8/29/2023,2023,NULL,0,NULL,,
1d679d05-917d-4fc9-893f-99d8dcaa1712,243452,0,0,5/26/2023,whale bay,3,18,1.5,ADFG WEB,8/1/2023,2023,NULL,0,NULL,,
3f13ad95-5c42-42ae-bdaa-69d528634994,136834,0,0,5/21/2023,Unakwik Bay,3,12,2.67,ADFG WEB,9/27/2023,2023,NULL,0,NULL,,
27b920f7-02dc-413c-85ae-a9817d095a08,112671,0,0,8/11/2023,Pigot point,2,24,1,ADFG WEB,9/21/2023,2023,NULL,0,NULL,,
9da86530-e7dc-493a-ad66-ce100f6f00b3,126816,0,0,7/23/2023,Blackstone,2,200,7,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
de044d42-a91a-4fc6-b3d0-8a5bdef4a631,365071,0,0,9/11/2023,deep water bay,2,8,0.5,ADFG WEB,9/18/2023,2023,NULL,0,NULL,,
7d940133-156e-4253-b714-513fe9583ae6,325443,0,0,7/15/2023,Culross Passage,2,12,1,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
c343b10c-fe34-4c4b-8384-4fd490e47777,16562,0,0,6/18/2023,Port valdez,2,48,2,ADFG WEB,9/18/2023,2023,NULL,0,NULL,,
b28fbc5a-0eef-4c86-a8c9-f41f91a31887,167816,0,0,6/24/2023,PWS,2,12,1.5,ADFG WEB,9/17/2023,2023,NULL,0,NULL,,
083f19fa-0d3b-40dd-b840-604f9ad46e9f,69916,0,0,6/1/2023,Cochran Bay,2,12,1,ADFG WEB,9/15/2023,2023,NULL,0,NULL,,
50244e7d-e7f4-4dc7-a310-1e4dd427e1e7,155689,0,0,5/13/2023,Unkawik,4,7,0.25,ADFG WEB,10/1/2023,2023,NULL,0,NULL,,
e6d0d4db-6553-42a6-b8dd-feb77a0cc654,48852,1,0,8/22/2023,Passage Canal,2,48,0,ADFG WEB,10/2/2023,2023,NULL,0,NULL,,
9fec4c6c-6b2c-4ba2-8c39-4c2f82aed517,84134,0,0,7/27/2023,Kings bay,3,24,5,ADFG WEB,10/14/2023,2023,NULL,0,NULL,,
b52d6532-f7b7-4c7f-b0fe-6af01dc91fc3,83770,1,0,7/3/2023,Poe Bay,1,8,0,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
e84b0137-e9ad-4aad-a45f-89dc20f38ef0,295744,0,0,7/25/2023,Blackstone bay,2,12,1,ADFG WEB,7/25/2023,2023,NULL,0,NULL,,
06ee31c2-65ba-4016-9c08-c6027bac60c1,245143,0,0,6/19/2023,Wells Bay,3,24,4,ADFG WEB,9/13/2023,2023,NULL,0,NULL,,
8fed87d6-1597-48ee-b6c1-b7bad1048e07,190635,0,0,5/27/2023,Unakwik,3,5,1,ADFG WEB,10/16/2023,2023,NULL,1,NULL,,
59a65152-a9fa-45e4-8673-3be0f83c2b71,47943,0,0,5/24/2023,Valdez Arm / Gold creek,2,12,1,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
e962c2a0-3531-48a8-b851-356f690e37f5,268316,0,0,5/22/2023,Prinswilliams,1,8,1.5,ADFG WEB,10/21/2023,2023,NULL,1,NULL,,
f811a699-147b-4959-b8c0-d08b4bbecfe6,200644,0,0,5/28/2023,Long Bay,3,6,0.25,ADFG WEB,8/5/2023,2023,NULL,0,NULL,,
d80854a4-a145-4146-baca-979361874683,3699,0,0,5/28/2023,Blackstone Bay,2,6,0.75,ADFG WEB,10/6/2023,2023,NULL,0,NULL,,
2187ed3e-1a70-485f-a0bf-3398dffc6d4f,128643,0,0,7/12/2023,Elder Pt,3,36,0.2,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
d699edf9-e2c7-4121-b82b-bdc8c135a33a,215189,0,0,6/18/2023,blackstone bay,2,10,1,ADFG WEB,10/7/2023,2023,NULL,0,NULL,,
0871157f-a2f8-443f-847b-bc40dd067473,412698,1,0,8/5/2023,whittier,1,1,0,ADFG WEB,9/8/2023,2023,NULL,0,NULL,,
ff160471-a520-4f96-a70a-eaa5f0ab73ff,54652,0,0,7/25/2023,Gold Creek,2,72,3.5,ADFG WEB,10/4/2023,2023,NULL,0,NULL,,
dbd71738-8895-4f0a-b464-67853f7e1c2e,298062,1,0,7/15/2023,Port Nellie Juan,3,24,0,ADFG WEB,10/24/2023,2023,NULL,1,NULL,,
8970b3bc-dd15-4838-bcd2-eaa02c170a82,154544,0,0,5/25/2023,Port of Valdez,2,24,2,ADFG WEB,10/13/2023,2023,NULL,0,NULL,,
bab207f0-026a-4a53-b4a1-3189d45aad1a,13371,0,0,7/17/2023,shotgun cove,2,96,4,ADFG WEB,8/14/2023,2023,NULL,0,NULL,,
d486fcea-7db1-4885-9875-e59ae6607049,39444,0,0,6/2/2023,Unakwik inlet,3,18,3,ADFG WEB,9/12/2023,2023,NULL,0,NULL,,
be25132c-7504-4487-baa7-d8822d5def63,83879,0,0,5/7/2023,Poe Bay,2,17,0.25,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
fe9576dc-fc13-4930-85b0-2b30b1da564b,238534,0,0,6/6/2023,Wells Bay upper rt arm,3,5,2.5,ADFG WEB,9/14/2023,2023,NULL,0,NULL,,
491fc4a4-3b50-410a-a30d-61c00f347cb2,130935,0,0,6/3/2023,Cochran,2,12,1,ADFG WEB,10/18/2023,2023,NULL,1,NULL,,
2da3be7e-af15-48dc-9825-c6537b2e12ae,328279,0,0,6/26/2023,Jackpot Bay,3,11,1,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
359e9424-d1da-4d43-9c4e-c9ff6eefb280,61162,0,0,6/3/2023,unakwik inlet,2,5,0.5,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
eb6fd819-4cf4-4142-aa05-c9d6a85b64b5,213935,0,0,6/6/2023,Port of Valdez,2,72,1.5,ADFG WEB,8/31/2023,2023,NULL,0,NULL,,
4eff7907-e259-4cec-b4f1-cb13eb9ca922,3072,0,0,9/3/2023,Blackstone Bay,2,72,2,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
ef829c54-528a-4fbf-9456-f18c048dce5a,200799,0,0,9/4/2023,Olsen Island,3,4,1,ADFG WEB,10/6/2023,2023,NULL,0,NULL,,
d5fa2515-f187-41ee-a20e-45e3a6753fca,18607,0,0,9/11/2023,Nellie Juan,3,24,8,ADFG WEB,10/4/2023,2023,NULL,0,NULL,,
ce5f9be7-20df-4736-a750-ea13e274aae2,1817,0,0,8/16/2023,"Emerald Bay, Passage Canal",2,72,3.5,ADFG WEB,9/19/2023,2023,NULL,0,NULL,,
3408f7fc-4269-492b-8b2f-f5793fd54ae9,292144,0,0,8/11/2023,Unakwik inlet,3,24,7,ADFG WEB,10/4/2023,2023,NULL,0,NULL,,
0639ddf5-cee3-47b2-92f2-322dc08a0851,209107,0,0,7/23/2023,Passage kanal,2,4,1,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
04c7786d-5246-4e9e-a2dd-477a92bbf9cb,28280,0,0,6/12/2023,Long Bay,3,12,0.25,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
27b841c8-2db9-4847-93ad-16606a276887,129270,0,0,6/25/2023,Packing Ham,2,20,1.5,ADFG WEB,8/22/2023,2023,NULL,0,NULL,,
8a0b5a8d-5523-4055-b440-b77729efd705,402926,0,0,8/11/2023,Unakwik moraine,3,24,5,ADFG WEB,9/6/2023,2023,NULL,0,NULL,,
6a9a02db-5bf3-4b6e-a565-a6a7427e7982,12135,0,0,8/4/2023,McClure,2,16,0.5,ADFG WEB,9/14/2023,2023,NULL,0,NULL,,
b3d8eed5-8e4e-42eb-a2a9-5fb5dc9b5eff,54325,0,0,5/20/2023,Port valdez,2,48,2,ADFG WEB,8/31/2023,2023,NULL,0,NULL,,
a7e434d2-c002-4a0f-8bdf-055deb1724cd,175780,0,0,6/5/2023,valdez narrows,2,72,1.5,ADFG WEB,10/11/2023,2023,NULL,0,NULL,,
6edf85af-6c1c-4c96-8871-9142f6d15cff,72743,0,0,5/8/2023,three finger bay,2,5,3,ADFG WEB,9/21/2023,2023,NULL,0,NULL,,
3ed2b9c0-db7d-431a-a6b5-456843f8f265,39335,0,0,4/22/2023,Passage canal,2,20,1,ADFG WEB,10/8/2023,2023,NULL,0,NULL,,
96916222-ab0d-4f37-8cf8-6719a4da09f4,52389,0,0,7/31/2023,Hobo Bay,2,12,0.5,ADFG WEB,9/14/2023,2023,NULL,0,NULL,,
d6431c7a-2774-4e3b-aa26-6d650a562444,341634,1,0,7/22/2023,Culross passage,2,128,0,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
c4bfec46-8136-40e6-8548-fc23c503ca13,257962,0,0,9/7/2023,Jack bay,2,14,0.5,ADFG WEB,9/7/2023,2023,NULL,0,NULL,,
f5a7755f-b2e0-4224-bf74-6d8260ac76d5,57071,0,0,6/17/2023,PASSAGE CANAL,2,72,5,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
aebb4055-ef2e-4743-9bed-c7a2252c064c,37934,0,0,4/15/2023,port Nellie Juan,2,8,0.02,ADFG WEB,9/29/2023,2023,NULL,0,NULL,,
e633045e-ec18-415f-bd70-253fd77cc575,68107,0,0,7/31/2023,Squirrel cove,2,2.5,0.25,ADFG WEB,10/22/2023,2023,NULL,1,NULL,,
8774591c-13e2-4cd3-b518-e8b810267674,72080,0,0,6/14/2023,Blackstone Bay,2,72,3,ADFG WEB,9/20/2023,2023,NULL,0,NULL,,
330ba20c-e4e1-4374-8713-d95dfafd9841,341307,0,0,8/9/2023,Unaquik,3,12,3,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
177f65f8-fa25-4a4f-8d68-4421ad491e32,168789,0,0,5/29/2023,Port of Valdez (inside Valdez narrows),2,48,1,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
3f100e3f-f86f-45b9-aa7a-9dc213c22cda,88888,0,0,6/6/2023,Cochran bay,2,6,0.25,ADFG WEB,9/15/2023,2023,NULL,0,NULL,,
59e469b9-8cee-4f65-91a2-d4c28e73b7dd,255371,0,0,7/30/2023,Cochran Bay,2,36,1,ADFG WEB,9/23/2023,2023,NULL,0,NULL,,
b1f8720b-06ac-46d7-bc63-ae5e5acf872a,124607,0,0,7/15/2023,Port Wells,2,21,1,ADFG WEB,10/6/2023,2023,NULL,0,NULL,,
3ed39da9-bd3b-467c-9932-345f08f6b2cb,46153,0,0,5/30/2023,Bettles Bay,2,5,2,ADFG WEB,9/6/2023,2023,NULL,0,NULL,,
23d6bafd-2428-4428-a3fc-6f475ce9d2e2,425452,0,0,8/23/2023,Anderson Waterfalls,2,48,1,ADFG WEB,9/8/2023,2023,NULL,0,NULL,,
682f5c0a-6841-441d-9021-b8fc9081df1f,174062,0,0,6/6/2023,Miners Bay,3,16,1,ADFG WEB,11/9/2023,2023,NULL,2,NULL,,
0b8caacc-a7ed-4ce4-bccf-0e8bcbfe21c4,60035,0,0,6/2/2023,port Valdez,2,96,3,ADFG WEB,9/6/2023,2023,NULL,0,NULL,,
59d53257-b897-4cd5-b165-33f28ebe73f7,85507,0,0,5/3/2023,Blackstone bay,2,6,1,ADFG WEB,11/4/2023,2023,NULL,2,NULL,,
08685962-2225-4e49-8fd7-59f79fea20b2,65262,0,0,6/6/2023,Port Valdez,2,48,3.25,ADFG WEB,10/8/2023,2023,NULL,0,NULL,,
38d026b5-ce0b-4fb1-8ee6-9ff107142781,301526,0,0,7/13/2023,Passage Canal,2,30,0.1,ADFG WEB,10/9/2023,2023,NULL,0,NULL,,
8209ebc4-ba25-41a6-a557-ae5753545f8f,147534,0,0,5/6/2023,Blackstone Bay,2,6,1,ADFG WEB,9/11/2023,2023,NULL,0,NULL,,
a987fa92-3b2c-4f68-afe5-32b6907e9257,147343,0,0,5/7/2023,Cochrane,2,24,0.5,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
080e6ea4-488c-4a34-8b00-54effc429eae,46044,0,0,7/21/2023,Pigot,2,48,1,ADFG WEB,10/16/2023,2023,NULL,1,NULL,,
bb301a99-0b8a-441f-99ab-75c8b29bbbcc,45462,0,0,6/19/2023,PORT VALDEZ,2,48,2.5,ADFG WEB,9/11/2023,2023,NULL,0,NULL,,
14f84922-7b96-4a1a-8768-cc4a46d4bb6f,309116,0,0,8/19/2023,Deep Water Bay,2,3,1,ADFG WEB,9/7/2023,2023,NULL,0,NULL,,
e0e91b94-f45f-4c76-a58e-3c167ae43796,126589,0,0,8/1/2023,"Coghill, PWS",3,8,1,ADFG WEB,9/27/2023,2023,NULL,0,NULL,,
dd611a26-5c3b-41a1-8ea5-0583e674afc6,367316,1,0,7/12/2023,Prince William Sound,1,1,0,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
bf0fa14e-fb3b-43da-8393-d9416282078d,271407,0,0,6/5/2023,Bettles Bay,2,2,1,ADFG WEB,8/30/2023,2023,NULL,0,NULL,,
3889bd8e-9234-4d83-9d92-ae43bf9c4aa6,363189,0,0,8/19/2023,S Culross Passage,3,12,1,ADFG WEB,8/29/2023,2023,NULL,0,NULL,,
fecab355-99dd-48d6-8b31-157950cae422,90389,0,0,6/24/2023,Long bay,2,16,1,ADFG WEB,10/10/2023,2023,NULL,0,NULL,,
1d3dd588-2b60-4c86-85d1-2ae3fe8bfe10,54979,0,0,5/13/2023,Columbia Bay,2,12,1,ADFG WEB,10/3/2023,2023,NULL,0,NULL,,
dfffd9fc-49c6-42a2-8b39-74a561788de9,57071,0,0,7/10/2023,PASSAGE CANAL,2,24,2,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
a8e30e62-b383-4791-9e85-c654bc456a70,54098,0,0,7/1/2023,Passage Canal,2,24,3,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
f26e1827-0572-45da-9dc5-1df0c61b17fc,45462,0,0,7/13/2023,PORT VALDEZ,2,24,1,ADFG WEB,9/11/2023,2023,NULL,0,NULL,,
b09dc287-5698-4f9b-a3c1-3383b5561b14,347879,0,0,7/2/2023,West Valdez Bay,2,12,1,ADFG WEB,9/5/2023,2023,NULL,0,NULL,,
81e45032-c9d6-421a-b036-99629a61a198,232616,0,0,7/27/2023,Blackstone Bay,2,9,1,ADFG WEB,10/2/2023,2023,NULL,0,NULL,,
da8e5cec-0707-447c-9a21-44081fc32e45,317598,1,0,6/21/2023,Passage Canal,2,5,0,ADFG WEB,8/5/2023,2023,NULL,0,NULL,,
a124b728-bd66-4ed4-99ab-485197429a40,117580,0,0,6/4/2023,Shotgun Cove,2,72,1.5,ADFG WEB,10/11/2023,2023,NULL,0,NULL,,
6084a9e9-f786-497a-bbe3-f353945db133,168598,0,0,5/14/2023,Cochrane arm,2,12,1,ADFG WEB,9/30/2023,2023,NULL,0,NULL,,
a9e4510a-fe00-444b-bd7a-7dab80449c6a,399789,0,0,7/26/2023,Outside Pigot Bay,2,15.5,2.5,ADFG WEB,10/11/2023,2023,NULL,0,NULL,,
cce0ef04-a943-47f8-b813-4e5bf2a76468,81516,0,0,4/22/2023,Jack Bay,2,24,1,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
5f6bb617-f44e-4b2d-b306-3c422c3cc197,335652,0,0,6/17/2023,outside Valdez port,2,6,1,ADFG WEB,10/13/2023,2023,NULL,0,NULL,,
67aa96c1-0298-4f09-a274-beed43fd6265,127307,0,0,5/15/2023,Valdez Narrows,2,24,5,ADFG WEB,7/9/2023,2023,NULL,0,NULL,,
d8a971ef-a909-43cd-ba5a-dd5b04796a6e,53961,0,0,5/4/2023,Unakwik,3,12.5,1.5,ADFG WEB,10/14/2023,2023,NULL,0,NULL,,
a2d2cdcc-991c-4806-94be-db1d2a638287,344661,0,0,7/22/2023,Bettles Bay mouth,2,12,2,ADFG WEB,10/1/2023,2023,NULL,0,NULL,,
b84d0b96-cb78-4b77-ab74-1cb0bb6205a0,17798,0,0,4/26/2023,Passage Canal,2,40,3.5,ADFG WEB,8/26/2023,2023,NULL,0,NULL,,
f2ca5e4e-c778-423e-89d7-5721b6638626,83770,1,0,7/3/2023,Poe Bay,1,3,0,ADFG WEB,9/26/2023,2023,NULL,0,NULL,,
8810fc7d-4175-4d67-998f-7d304b5e3e25,290090,0,0,7/26/2023,Eaglek Bay,2,8,1,ADFG WEB,10/5/2023,2023,NULL,0,NULL,,
579c73b7-6e66-49e5-a1f0-11a2256a13e1,8017,0,0,4/16/2023,Blackstone Bay,2,14,8,ADFG WEB,9/30/2023,2023,NULL,0,NULL,,
5d871021-c405-46a6-9c14-f09e61bfd8f8,92325,0,0,9/8/2023,Black stone,2,8,2,ADFG WEB,9/19/2023,2023,NULL,0,NULL,,
3dd46811-3129-4d84-9a43-fc1c9d0b84aa,149688,0,0,8/20/2023,Port Valdez,2,84,1,ADFG WEB,9/25/2023,2023,NULL,0,NULL,,
5b0992eb-e26b-490f-8407-f2635c9ba7ae,301526,0,0,7/20/2023,Passage Canal,2,108,1,ADFG WEB,10/9/2023,2023,NULL,0,NULL,,
c0bdcc79-21e0-454c-8846-4e91d2439e39,232771,0,0,6/9/2023,Pigot bay,2,96,1,ADFG WEB,10/13/2023,2023,NULL,0,NULL,,
f525f20d-d2f0-4a08-bcee-ca95b8fbe61c,2690,0,0,5/12/2023,Cochrane Bay,2,5,2,ADFG WEB,9/27/2023,2023,NULL,0,NULL,,
21b11861-fd90-4e5d-acb3-ce1af19f246b,17916,0,0,5/13/2023,piget point,2,10,3,ADFG WEB,9/16/2023,2023,NULL,0,NULL,,
b1e79bfa-e3f7-4b53-b2d1-b5af4a113b85,30771,0,0,8/18/2023,Pigot,2,336,2,ADFG WEB,10/8/2023,2023,NULL,0,NULL,,
c5196a18-300d-4d09-8668-a7a792906e0d,341443,0,0,7/26/2023,Cochrane bay,2,7,3,ADFG WEB,9/14/2023,2023,NULL,0,NULL,,
2292583b-c2da-49ba-af11-e42646137c60,232771,0,0,6/12/2023,Pigot bay,2,72,2,ADFG WEB,10/13/2023,2023,NULL,0,NULL,,
24439b4c-939d-488c-91a6-903c99143837,219798,0,0,6/12/2023,Mineral Creek,2,24,2,ADFG WEB,9/29/2023,2023,NULL,0,NULL,,
1786f5eb-2d6e-4132-9094-5c9f9c221b85,91416,0,0,4/27/2023,UNAKWIK,3,6,5,ADFG WEB,5/4/2023,2023,NULL,0,NULL,,
f4ec9ff3-9ef8-4588-9d3c-1020892f3172,244707,0,0,8/3/2023,muller unakwik,3,12,1,ADFG WEB,9/6/2023,2023,NULL,0,NULL,,
